ID_Penerima,nama_depan_penerima,nama_belakang_penerima,alamat_penerima
02001,Kaenova,Mahendra,Bogor
02002,Rafli,Ramadhan,Bandung
02003,Aditya,Koeswojo,Medan
02004,Bambang,Subianto,Jakarta
02005,Catherine,Yoshawirja,Bogor
02006,Hadi,Suginawan,Bandung
02007,Lanasari,Halim,Medan
02008,Nanik,Santoso,Jakarta
02009,Fahmi,Idris,Medan
02010,Kaman,Halim,Bandung
02011,Nila,Fatina,Jakarta
02012,Tan,Lunardi,Bandung
02013,Widjojo,Soejono,Bandung
02014,Yap,Johanes,Bogor
02015,Lie,Soemarli,Medan
02016,Jennie,Widjaya,Jakarta
02017,Gunawan,Jusuf,Medan
02018,Indra,Widjaja,Medan
02019,RAIHAN,FAUZI,Bandung
02020,BILLY,HADIPUSPITO,Bandung
02021,FADHLY,AL-FARIZI,Bandung
02022,ILHAM,ADISYAH,Bogor
02023,Fachry,Gunawan,Jakarta
02024,KURNIA,Roy,Medan
02025,Julianoel,KHANSA,Bandung
02026,HELLEN,FAYI,Jakarta
02027,GALIH,ATHA,Jakarta
02028,NAUFAL,ADRIAN,Bandung
02029,M GHIYAATS DAFFA,HIDAYAT,Bogor
02030,SYIFA,NUR,Bandung
02031,Konner,Anthony,Jakarta
02032,Derrick,Mays,Bogor
02033,Rigoberto,Golden,Bogor
02034,Konnor,Leblanc,Bandung
02035,Daniel,Brady,Jakarta
02036,Alejandro,Cohen,Medan
02037,Kyle,Oliver,Bandung
02038,Mohammed,Patton,Medan
02039,Chaim,Lyons,Bogor
02040,Hudson,Sutton,Jakarta
02041,Anastasia,Pham,Jakarta
02042,Naomi,Wilson,Bogor
02043,Glenn,Mcguire,Jakarta
02044,Cecilia,Martin,Medan
02045,Lennon,Higgins,Bogor
02046,Kaylah,Cowan,Medan
02047,Gage,Buchanan,Medan
02048,Elle,Wood,Jakarta
02049,Efrain,Pennington,Bandung
02050,Elsie,Sherman,Bandung
02051,Gaige,Hill,Bandung
02052,Sara,Forbes,Bogor
02053,Andrew,Blackwell,Jakarta
02054,Asher,Spence,Jakarta
02055,Ernest,Acosta,Bogor
02056,Omari,Faulkner,Bogor
02057,Antoine,Duffy,Jakarta
02058,Ryker,Bautista,Bogor
02059,Kason,Taylor,Bogor
02060,Denise,Cunningham,Jakarta
02061,Lewis,Rasmussen,Jakarta
02062,Ronin,Osborne,Bogor
02063,Milo,Walton,Medan
02064,Tori,Hurst,Bogor
02065,Augustus,Dominguez,Bogor
02066,Kate,Rivers,Jakarta
02067,Saul,Ray,Bogor
02068,Rihanna,Parker,Medan
02069,Hailie,Steele,Jakarta
02070,Alana,Glass,Jakarta
02071,Gael,Burton,Jakarta
02072,Parker,Holt,Bogor
02073,Jett,Horn,Jakarta
02074,Maximillian,Pineda,Jakarta
02075,Hallie,Raymond,Bogor
02076,Finley,Mccarthy,Jakarta
02077,Caitlin,Pineda,Medan
02078,Angie,Wheeler,Medan
02079,Kierra,Cabrera,Medan
02080,Amani,Hughes,Bogor
02081,Brady,Ayala,Bogor
02082,Alma,Stout,Bogor
02083,River,Riggs,Medan
02084,Milo,Haney,Bogor
02085,Keith,Frederick,Medan
02086,Chandler,Knox,Bandung
02087,Rolando,Strong,Jakarta
02088,Tyree,Kane,Bandung
02089,Raven,Powers,Bogor
02090,Xzavier,Chen,Bandung
02091,Lola,Velazquez,Bogor
02092,Maddox,Harrington,Bogor
02093,Shyanne,Solis,Jakarta
02094,Alejandro,Roach,Bogor
02095,Dalton,Harper,Jakarta
02096,Marcus,Graves,Bandung
02097,Shannon,Wells,Jakarta
02098,Madeleine,Pratt,Jakarta
02099,Drake,Daugherty,Bandung
02100,Donovan,Stevens,Bogor
02101,Leah,Patterson,Bogor
02102,Mattie,Hancock,Bogor
02103,Rachel,Ali,Medan
02104,Sandra,Boyer,Jakarta
02105,Alex,Campos,Bogor
02106,Amiya,Hodge,Jakarta
02107,Krystal,Delgado,Jakarta
02108,Leilani,Cantu,Medan
02109,Dorian,Lynch,Medan
02110,Chris,Lin,Medan
02111,Camryn,Ramirez,Bogor
02112,Jagger,Rivers,Medan
02113,Jonas,Pennington,Jakarta
02114,Kash,Santana,Jakarta
02115,Lauren,Fleming,Bandung
02116,John,Flores,Bandung
02117,Deanna,Bautista,Bogor
02118,Quinten,Fuller,Bogor
02119,Larry,Browning,Jakarta
02120,Sara,Lewis,Bogor
02121,Trent,Franco,Medan
02122,Phoenix,Aguirre,Jakarta
02123,Jeremy,Palmer,Bandung
02124,Luke,Drake,Bogor
02125,Evelyn,Lambert,Jakarta
02126,Anika,Werner,Bandung
02127,Jennifer,Hansen,Jakarta
02128,Izaiah,Young,Medan
02129,Vincent,Mccarthy,Bogor
02130,Karli,Noble,Jakarta
02131,Jadiel,Golden,Bogor
02132,Kaeden,Mcclain,Medan
02133,Quinn,Wilcox,Jakarta
02134,Esperanza,Casey,Jakarta
02135,Gavin,Kidd,Jakarta
02136,Zaire,Fitzpatrick,Bandung
02137,Colten,Hoffman,Bandung
02138,Sophia,Woods,Bogor
02139,Elisabeth,Osborn,Jakarta
02140,Chaya,Barrera,Bogor
02141,Deon,Sloan,Bogor
02142,Marin,Mason,Bogor
02143,Theodore,Arellano,Bandung
02144,Jadyn,Vega,Medan
02145,Duncan,Middleton,Bogor
02146,Anderson,Robbins,Bandung
02147,Rafael,Sellers,Bandung
02148,Gary,Leblanc,Bogor
02149,Leilani,Horne,Medan
02150,Kaiya,Wagner,Medan
02151,Israel,Leonard,Jakarta
02152,Tamara,Salas,Jakarta
02153,Alfonso,Villanueva,Bandung
02154,Adalyn,Thomas,Medan
02155,Amir,Acosta,Bogor
02156,Baylee,Tran,Bogor
02157,Arianna,Sanders,Bogor
02158,Easton,Riley,Jakarta
02159,Zack,Robles,Bandung
02160,Felipe,Townsend,Bandung
02161,Brooklyn,Flowers,Bandung
02162,Evie,Tapia,Bogor
02163,Amelia,Haley,Jakarta
02164,Issac,Bradshaw,Bandung
02165,Dawson,Cisneros,Bogor
02166,Bryson,Higgins,Bogor
02167,Terry,Snyder,Bogor
02168,Colin,Lindsey,Medan
02169,Reilly,Daniel,Jakarta
02170,Lucy,Serrano,Medan
02171,Evan,Jackson,Medan
02172,Adonis,Cantrell,Bandung
02173,Nelson,Novak,Bandung
02174,Andreas,Collier,Bogor
02175,Cheyenne,Ball,Bandung
02176,Quincy,Shields,Jakarta
02177,Octavio,Frank,Jakarta
02178,Anaya,Nunez,Medan
02179,Mark,Flowers,Bandung
02180,Jaida,Newton,Medan
02181,Liberty,Kline,Bandung
02182,Destiney,Barajas,Bogor
02183,Hamza,Levy,Jakarta
02184,Zackary,Quinn,Bandung
02185,Donald,Tate,Bogor
02186,Lara,Weeks,Bogor
02187,Mariah,Lin,Medan
02188,Jayla,Moyer,Medan
02189,Valentino,Ritter,Jakarta
02190,Makena,Banks,Bandung
02191,Jefferson,Rojas,Bandung
02192,Sadie,Wolfe,Jakarta
