ID_Penerima,no_hp_penerima
0227,(705) 280-8728
0220,(906) 333-9898
0227,(980) 751-7197
0213,(442) 887-3515
0220,(900) 842-4430
0212,(863) 287-1907
0218,(570) 994-2206
0215,(574) 407-7401
0215,(645) 636-5034
0204,(717) 957-9625
0219,(660) 223-5775
0208,(331) 943-1852
0206,(764) 739-2634
0216,(227) 414-1205
0205,(658) 453-1997
0220,(412) 702-2372
0203,(551) 364-7973
0227,(994) 400-6416
0209,(502) 510-6710
0207,(807) 295-2550
0221,(957) 477-8520
0218,(252) 738-1771
0216,(659) 976-4353
0202,(875) 644-4146
0201,(825) 529-7679
0214,(837) 691-9288
0221,(730) 556-0823
0212,(597) 767-3891
0201,(452) 814-8863
0218,(475) 328-0624
