ID_Pengirim,no_hp_pengirim
0115,(445) 241-0240
0103,(291) 676-3155
0115,(335) 552-7664
0121,(572) 975-5338
0123,(809) 856-7279
0120,(668) 514-1570
0124,(217) 730-6935
0118,(926) 630-1042
0116,(400) 703-6668
0108,(410) 871-5100
0104,(596) 236-8921
0117,(526) 988-0083
0130,(676) 725-5063
0116,(824) 408-6136
0129,(904) 654-4676
0106,(640) 237-5474
0129,(788) 360-8322
0118,(247) 588-7474
0124,(431) 914-1935
0106,(993) 647-9466
0114,(571) 979-5237
0125,(818) 432-7796
0111,(504) 404-7921
0120,(514) 950-0658
0125,(263) 407-3372
0116,(786) 897-5645
0128,(268) 278-8704
0118,(740) 255-1051
0107,(391) 754-3539
0103,(917) 499-0431
