ID_Laporan,ID_Paket,hari_terima,tanggal_terima,waktu_terima,penerima_paket
21001,20001,Wed,1-Jan-2020,0844,Aspen Jacobson
21002,20002,Thu,2-Jan-2020,1401,Asher Aguilar
21003,20003,Fri,3-Jan-2020,1246,Hugo Jacobs
21004,20004,Sat,4-Jan-2020,0741,Keenan Heath
21005,20005,Sun,5-Jan-2020,1351,Charlie Arias
21006,20006,Mon,6-Jan-2020,1525,Avery Wolf
21007,20007,Tue,7-Jan-2020,1150,Michelle Oconnell
21008,20008,Wed,8-Jan-2020,0910,Talia Ramirez
21009,20009,Thu,9-Jan-2020,1006,Gage Gay
21010,20010,Fri,10-Jan-2020,1729,Laney George
21011,20011,Sat,11-Jan-2020,1608,Wyatt Boyer
21012,20012,Sun,12-Jan-2020,1640,Trevon Fields
21013,20013,Mon,13-Jan-2020,1742,Wesley Martin
21014,20014,Tue,14-Jan-2020,1114,Lesly Harper
21015,20015,Wed,15-Jan-2020,0820,Jayvion Short
21016,20016,Thu,16-Jan-2020,1011,Regan Lamb
21017,20017,Fri,17-Jan-2020,1333,Carl Carroll
21018,20018,Sat,18-Jan-2020,1759,Amani Larson
21019,20019,Sun,19-Jan-2020,1518,Alvaro Chapman
21020,20020,Mon,20-Jan-2020,0855,Kason Shea
21021,20021,Tue,21-Jan-2020,1047,Wyatt Shea
21022,20022,Wed,22-Jan-2020,1002,Devyn Andrade
21023,20023,Thu,23-Jan-2020,1727,Alexus Valdez
21024,20024,Fri,24-Jan-2020,1028,King Jennings
21025,20025,Sat,25-Jan-2020,1153,Adalyn Nixon
21026,20026,Sun,26-Jan-2020,1123,Presley Ball
21027,20027,Mon,27-Jan-2020,0835,Jamie Mendoza
21028,20028,Tue,28-Jan-2020,1758,Sarai Wright
21029,20029,Wed,29-Jan-2020,1626,Carter Wu
21030,20030,Thu,30-Jan-2020,1448,Sofia Waller
21031,20031,Fri,31-Jan-2020,1616,Hamza Ellison
21032,20032,Sat,1-Feb-2020,1556,Andrew Schultz
21033,20033,Sun,2-Feb-2020,1707,Henry Singh
21034,20034,Mon,3-Feb-2020,1634,Amare Coleman
21035,20035,Tue,4-Feb-2020,1413,Jeffrey Lowery
21036,20036,Wed,5-Feb-2020,1409,Jocelynn Hinton
21037,20037,Thu,6-Feb-2020,1438,Henry Murray
21038,20038,Fri,7-Feb-2020,0704,Arianna Peterson
21039,20039,Sat,8-Feb-2020,1032,Chana Mullen
21040,20040,Sun,9-Feb-2020,0857,Dahlia Sharp
21041,20041,Mon,10-Feb-2020,0824,Sofia Nichols
21042,20042,Tue,11-Feb-2020,1149,Makai Holder
21043,20043,Wed,12-Feb-2020,0719,Franklin Burton
21044,20044,Thu,13-Feb-2020,1330,Akira Johnston
21045,20045,Fri,14-Feb-2020,1243,Brenden Lang
21046,20046,Sat,15-Feb-2020,1005,Gianni Mathews
21047,20047,Sun,16-Feb-2020,1112,Armando Rosario
21048,20048,Mon,17-Feb-2020,1622,Johnny Nolan
21049,20049,Tue,18-Feb-2020,0854,Tyree Cantu
21050,20050,Wed,19-Feb-2020,0831,Reese Swanson
21051,20051,Thu,20-Feb-2020,1239,Kade Waller
21052,20052,Fri,21-Feb-2020,0837,Samuel Barrett
21053,20053,Sat,22-Feb-2020,1117,Richard Contreras
21054,20054,Sun,23-Feb-2020,1252,Celeste Park
21055,20055,Mon,24-Feb-2020,0945,Alonso Valenzuela
21056,20056,Tue,25-Feb-2020,1621,Noel Ashley
21057,20057,Wed,26-Feb-2020,0803,Eleanor Davies
21058,20058,Thu,27-Feb-2020,0915,Gianni Fletcher
21059,20059,Fri,28-Feb-2020,1236,Beckham Schmitt
21060,20060,Sat,29-Feb-2020,1233,Chaya Greene
21061,20061,Sun,1-Mar-2020,1012,Jay Gilmore
21062,20062,Mon,2-Mar-2020,1242,Kaitlyn Russell
21063,20063,Tue,3-Mar-2020,0749,Violet Sandoval
21064,20064,Wed,4-Mar-2020,0825,Dominick Malone
21065,20065,Thu,5-Mar-2020,1648,Demarcus Clark
21066,20066,Fri,6-Mar-2020,1655,Camryn Nichols
21067,20067,Sat,7-Mar-2020,1045,Douglas Ho
21068,20068,Sun,8-Mar-2020,1005,Katrina Skinner
21069,20069,Mon,9-Mar-2020,0951,Savanna Yu
21070,20070,Tue,10-Mar-2020,1333,Keon Frederick
21071,20071,Wed,11-Mar-2020,1606,Mauricio Singh
21072,20072,Thu,12-Mar-2020,1520,Erica Riddle
21073,20073,Fri,13-Mar-2020,1148,Steven Farley
21074,20074,Sat,14-Mar-2020,1335,Phoenix Rivera
21075,20075,Sun,15-Mar-2020,0932,Gia Burnett
21076,20076,Mon,16-Mar-2020,0813,Kaylen Chan
21077,20077,Tue,17-Mar-2020,1210,Sandra Humphrey
21078,20078,Wed,18-Mar-2020,0813,Naomi Christensen
21079,20079,Thu,19-Mar-2020,1647,Thaddeus Tran
21080,20080,Fri,20-Mar-2020,1441,Melvin Velasquez
21081,20081,Sat,21-Mar-2020,1135,Renee Bryan
21082,20082,Sun,22-Mar-2020,1335,Breanna Wheeler
21083,20083,Mon,23-Mar-2020,1056,Desiree Wallace
21084,20084,Tue,24-Mar-2020,0756,Zechariah Yang
21085,20085,Wed,25-Mar-2020,1239,Luca Salinas
21086,20086,Thu,26-Mar-2020,1006,Lexi Campbell
21087,20087,Fri,27-Mar-2020,1357,Sandra Robbins
21088,20088,Sat,28-Mar-2020,1043,Aditya Oconnor
