ID_Penerima,nama_depan_penerima,nama_belakang_penerima,alamat_penerima
02001,Kaenova,Mahendra,Bogor
02002,Rafli,Ramadhan,Bandung
02003,Aditya,Koeswojo,Medan
02004,Bambang,Subianto,Jakarta
02005,Catherine,Yoshawirja,Bogor
02006,Hadi,Suginawan,Bandung
02007,Lanasari,Halim,Medan
02008,Nanik,Santoso,Jakarta
02009,Fahmi,Idris,Medan
02010,Kaman,Halim,Bandung
02011,Nila,Fatina,Jakarta
02012,Tan,Lunardi,Bandung
02013,Widjojo,Soejono,Bandung
02014,Yap,Johanes,Bogor
02015,Lie,Soemarli,Medan
02016,Jennie,Widjaya,Jakarta
02017,Gunawan,Jusuf,Medan
02018,Indra,Widjaja,Medan
02019,RAIHAN,FAUZI,Bandung
02020,BILLY,HADIPUSPITO,Bandung
02021,FADHLY,AL-FARIZI,Bandung
02022,ILHAM,ADISYAH,Bogor
02023,Fachry,Gunawan,Jakarta
02024,KURNIA,Roy,Medan
02025,Julianoel,KHANSA,Bandung
02026,HELLEN,FAYI,Jakarta
02027,GALIH,ATHA,Jakarta
02028,NAUFAL,ADRIAN,Bandung
02029,M GHIYAATS DAFFA,HIDAYAT,Bogor
02030,SYIFA,NUR,Bandung
02031,Konner,Anthony,Jakarta
02032,Derrick,Mays,Bogor
02033,Rigoberto,Golden,Bogor
02034,Konnor,Leblanc,Bandung
02035,Daniel,Brady,Jakarta
02036,Alejandro,Cohen,Medan
02037,Kyle,Oliver,Bandung
02038,Mohammed,Patton,Medan
02039,Chaim,Lyons,Bogor
02040,Hudson,Sutton,Jakarta
02041,Anastasia,Pham,Jakarta
02042,Naomi,Wilson,Bogor
02043,Glenn,Mcguire,Jakarta
02044,Cecilia,Martin,Medan
02045,Lennon,Higgins,Bogor
02046,Kaylah,Cowan,Medan
02047,Gage,Buchanan,Medan
02048,Elle,Wood,Jakarta
02049,Efrain,Pennington,Bandung
02050,Elsie,Sherman,Bandung
02051,Gaige,Hill,Bandung
02052,Sara,Forbes,Bogor
02053,Andrew,Blackwell,Jakarta
02054,Asher,Spence,Jakarta
02055,Ernest,Acosta,Bogor
02056,Omari,Faulkner,Bogor
02057,Antoine,Duffy,Jakarta
02058,Ryker,Bautista,Bogor
02059,Kason,Taylor,Bogor
02060,Denise,Cunningham,Jakarta
02061,Lewis,Rasmussen,Jakarta
02062,Ronin,Osborne,Bogor
02063,Milo,Walton,Medan
02064,Tori,Hurst,Bogor
02065,Augustus,Dominguez,Bogor
02066,Kate,Rivers,Jakarta
02067,Saul,Ray,Bogor
02068,Rihanna,Parker,Medan
02069,Hailie,Steele,Jakarta
02070,Alana,Glass,Jakarta
02071,Gael,Burton,Jakarta
02072,Parker,Holt,Bogor
02073,Jett,Horn,Jakarta
02074,Maximillian,Pineda,Jakarta
02075,Hallie,Raymond,Bogor
02076,Finley,Mccarthy,Jakarta
02077,Caitlin,Pineda,Medan
02078,Angie,Wheeler,Medan
02079,Kierra,Cabrera,Medan
02080,Amani,Hughes,Bogor
02081,Brady,Ayala,Bogor
02082,Alma,Stout,Bogor
02083,River,Riggs,Medan
02084,Milo,Haney,Bogor
02085,Keith,Frederick,Medan
02086,Chandler,Knox,Bandung
02087,Rolando,Strong,Jakarta
02088,Tyree,Kane,Bandung
02089,Raven,Powers,Bogor
02090,Xzavier,Chen,Bandung
02091,Lola,Velazquez,Bogor
02092,Maddox,Harrington,Bogor
02093,Shyanne,Solis,Jakarta
02094,Alejandro,Roach,Bogor
02095,Dalton,Harper,Jakarta
02096,Marcus,Graves,Bandung
02097,Shannon,Wells,Jakarta
02098,Madeleine,Pratt,Jakarta
02099,Drake,Daugherty,Bandung
02100,Donovan,Stevens,Bogor
